Ticker,Entry Date,Exit Date,Holding Period (Days),Entry Price,Exit Price,PnL,Hedge PnL,Net PnL,Transaction Costs
SMCI,2022-12-21,2024-04-11,477,8.402000427246094,93.72799682617188,50777159.15301514,1757990.8675799088,48550592.95970126,5950.96
TRGP,2022-10-11,2024-09-04,694,62.90999984741211,147.14999389648438,6695226.2470321655,2689677.6912954026,3450508.7873742427,794.78
PSTG,2024-01-04,2024-06-18,166,36.290000915527344,68.3499984741211,4417162.34362793,856181.9830417926,3375866.92651978,1377.78
CR,2023-04-03,2024-05-13,406,73.9000015258789,142.36000061035156,4631866.618057251,1370428.829254358,2839194.819770328,676.58
MBC,2022-12-14,2024-09-18,644,9.029999732971191,17.790000915527344,4850491.494791985,1989368.3535112124,2275104.7740910035,5537.09
ACGL,2022-10-31,2024-06-25,603,56.31999969482422,102.1500015258789,4068695.902557373,2049348.0701762144,1536888.3014807315,887.78
JXN,2023-08-31,2024-02-29,182,38.380001068115234,55.04999923706055,2171700.6814575195,624709.3262301105,1344242.3011386176,1302.76
AVTR,2024-07-25,2024-07-30,5,22.100000381469727,27.649999618530273,1255654.0273895264,6003.735507320724,1241853.6136233911,2262.44
DT,2022-09-16,2023-06-02,259,37.70000076293945,52.619998931884766,1978764.757156372,569844.2899702085,1227359.9488675082,1326.25
CNM,2023-11-10,2024-02-14,96,31.760000228881836,43.619998931884766,1867119.5958137512,717808.0962506946,1041480.1575856874,1574.3
BURL,2023-11-06,2024-05-06,182,132.13999938964844,188.0,2113630.7030944824,931177.8753551024,980631.3656052055,378.38
ERIE,2023-08-07,2024-05-17,284,276.0,396.80999755859375,2188473.105773926,899690.4714571781,974272.6247879808,181.15
CG,2023-11-29,2024-02-13,76,34.380001068115234,43.38999938964844,1310351.0858955383,403915.48910469376,820860.9426847103,1454.33
FTDR,2022-07-05,2023-12-01,514,24.700000762939453,34.58000183105469,1999998.7362174988,1107002.236613364,586092.973742953,2024.29
USFD,2023-03-17,2024-05-28,438,34.400001525878906,53.13999938964844,2723821.209503174,1736813.9452960656,545756.2979470363,1453.48
AMR,2023-11-09,2024-05-23,196,224.05999755859375,302.92999267578125,1759983.941040039,998221.2754500513,544601.4387770249,223.15
VTS,2023-01-13,2024-05-07,480,16.0,24.09000015258789,2528125.047683716,1569026.2316892205,490439.5694191528,3125.0
AAON,2024-05-07,2024-08-12,97,76.2699966430664,87.38999938964844,728982.9000549316,151770.05609748358,469193.8473511088,655.5600000000001
PCG,2022-09-30,2023-07-18,291,12.539999961853027,17.510000228881836,1981658.3864707947,1276810.6379995989,468459.18765463727,3987.2400000000002
VRRM,2023-02-28,2024-08-29,548,17.049999237060547,27.440000534057617,3046919.830350876,2028043.7044465253,466442.4779055803,2932.55
GEV,2024-04-01,2024-07-30,120,141.00999450683594,162.6999969482422,769084.1065673828,173433.96061092714,462475.44429309684,354.58
RYAN,2024-06-27,2024-09-09,74,57.720001220703125,63.869998931884766,532743.5517311096,9534.609867199262,440435.92272346927,866.25
BWXT,2023-06-16,2024-06-27,377,67.98999786376953,94.9800033569336,1984845.0039672852,1166425.9928046518,413313.63645453216,735.4
VICI,2022-06-07,2022-11-01,147,32.02000045776367,32.70000076293945,106183.4076538086,-288899.9845280892,321431.6470507241,1561.52
PTGX,2024-07-02,2024-08-02,31,35.61000061035156,37.36000061035156,245715.75,-99319.36316433545,309318.9374952656,1404.09
CRC,2023-06-16,2024-02-20,249,43.2599983215332,53.25,1154644.3939971924,606519.1423032457,279891.8712883167,1155.8
CWK,2022-12-16,2022-12-27,11,11.65999984741211,12.109999656677246,192967.11820983887,-49067.95330980009,227078.43011588702,4288.16
RDN,2023-03-17,2024-04-17,397,20.979999542236328,29.329999923706055,1989988.7909126282,1364757.4670549934,224216.95969085093,2383.2200000000003
FSLR,2022-12-16,2023-05-10,145,158.69000244140625,180.74000549316406,694729.4461517334,359182.9009019316,194605.6722896513,315.07
CHK,2023-08-18,2023-10-31,74,85.55999755859375,86.08000183105469,30388.009674072266,-175023.45664302554,122920.97191403434,584.38
NOVT,2022-07-25,2023-06-26,336,150.39999389648438,171.8699951171875,713748.7205810547,450916.0131573752,63205.727010387054,332.44
CUBE,2022-12-16,2023-04-26,131,41.65999984741211,45.06999969482422,409264.77168655396,248974.41508502344,32038.32724443887,1200.19
CARG,2023-06-16,2023-12-27,194,21.8799991607666,24.440000534057617,585008.9538230896,377974.14995330607,-3335.1315350263612,2285.19
